Year,Vi,Multi-adult,Multi-adult with children,"Multi-adult, 65+",Single,Single with children,"Single, 65+",min,max,Income_band
2019,50000,37977.5839997564,74403.7800836815,14187.9795379726,4234.56516816409,2225.31775888251,1985.81854850147,"$50,000","$52,000","$50,000-$52,000"
2019,52000,33782.5948364632,61019.9379379989,16642.5680645089,3783.01990704746,2400.7768123812,1661.82767770567,"$52,000","$54,000","$52,000-$54,000"
2019,54000,36161.6953419287,70028.7336090775,14466.9590953395,4040.77178698959,2646.70047072647,1369.81689928274,"$54,000","$56,000","$54,000-$56,000"
2019,56000,40664.260450267,50546.3078807586,14575.9728763109,3766.69327468652,931.819093789323,1194.77271792485,"$56,000","$58,000","$56,000-$58,000"
2019,58000,38948.3895686453,47635.6085722761,13042.9141413152,4018.17136211394,913.985760759853,1399.34919744916,"$58,000","$60,000","$58,000-$60,000"
2019,60000,41733.1601520976,49326.8791359838,13347.9188992193,3165.70923312267,693.488440613728,1350.85303584265,"$60,000","$62,000","$60,000-$62,000"
2019,62000,35281.177861069,39395.077598124,8743.3691174268,2756.77718652791,693.488440613728,1119.5826546975,"$62,000","$64,000","$62,000-$64,000"
2019,64000,39023.6382724622,43578.8836005542,7404.50712610525,2207.93889335069,693.488440613728,975.093359888851,"$64,000","$66,000","$64,000-$66,000"
2019,66000,42775.5038504099,37067.3353651871,9275.58730603755,2772.66063860053,338.832793275273,760.027243345976,"$66,000","$68,000","$66,000-$68,000"
2019,68000,37547.6886534583,32992.2817643129,12114.8166438739,2506.22217831275,329.574101023522,691.684753220383,"$68,000","$70,000","$68,000-$70,000"
2019,70000,29406.5382334312,28123.6742427454,7519.86077276722,2835.00954814363,329.574101023551,357.258612671751,"$70,000","$72,000","$70,000-$72,000"
2019,72000,29637.6422292379,23498.7242020599,8466.44656589895,1975.05628294594,329.574101023551,357.258612671722,"$72,000","$74,000","$72,000-$74,000"
2019,74000,29771.7453596724,24006.2222067982,7353.90374715359,1527.9333161992,329.574101023522,357.258612671751,"$74,000","$76,000","$74,000-$76,000"
2019,76000,20384.3439109485,20633.9938345063,6033.2254197232,1468.732896231,329.574101023551,357.258612671722,"$76,000","$78,000","$76,000-$78,000"
2019,78000,23042.5111530565,20697.6733794338,5649.26738260989,1202.40502293067,312.995853619854,376.860507662699,"$78,000","$80,000","$78,000-$80,000"
2019,80000,26512.7080043738,19298.2727496338,5910.92792534502,1386.66817709096,292.814193488972,382.547917888238,"$80,000","$82,000","$80,000-$82,000"
2019,82000,18234.4214727823,16278.0231758016,3392.08965184796,1350.91042198616,292.814193489001,382.547917888238,"$82,000","$84,000","$82,000-$84,000"
2019,84000,15726.3476814025,13019.4900301921,3549.73756724654,1253.54039534478,292.814193488972,382.547917888238,"$84,000","$86,000","$84,000-$86,000"
2019,86000,17180.3781843716,13771.0995633972,4089.46753339865,1171.53133530391,292.814193488972,376.651940076379,"$86,000","$88,000","$86,000-$88,000"
2019,88000,14792.5444705272,14019.6324451531,3808.75150763709,836.059475589602,292.814193488972,373.761656065239,"$88,000","$90,000","$88,000-$90,000"
2019,90000,9810.25937831984,8929.71423695842,3568.4622317875,470.637482340389,292.814193488972,373.761656065239,"$90,000","$92,000","$90,000-$92,000"
2019,92000,11695.7073882651,8929.71423695842,2813.10810364259,470.63748234036,268.101728495443,373.761656065239,"$92,000","$94,000","$92,000-$94,000"
2019,94000,10160.4934981684,7742.56699711131,2320.3367695089,470.637482340389,64.9381109168753,277.633604375151,"$94,000","$96,000","$94,000-$96,000"
2019,96000,8488.89873348433,6536.18256021291,2320.33676950878,473.572543746937,64.9381109169044,169.454360165866,"$96,000","$98,000","$96,000-$98,000"
2019,98000,8168.19874451868,6536.18256021338,1970.84979198163,475.609708222793,64.9381109168753,169.454360165866,"$98,000","$100,000","$98,000-$100,000"
2019,1e+05,8505.32595978491,6488.70854318608,1766.89970976999,475.609708222823,64.9381109168753,169.454360165866,"$100,000","$102,000","$100,000-$102,000"
2019,102000,9052.86294765468,4714.88911674265,1766.89970976999,475.609708222823,64.9381109168753,169.454360165866,"$102,000","$104,000","$102,000-$104,000"
2019,104000,6509.16117488802,4714.88911674311,1766.89970976987,452.370653453661,64.9381109168753,169.454360165866,"$104,000","$106,000","$104,000-$106,000"
2019,106000,6225.83643659856,4714.88911674265,1517.48733563011,444.315471560025,64.9381109168753,169.454360165866,"$106,000","$108,000","$106,000-$108,000"
2019,108000,6971.73485860578,4714.88911674311,1423.51700010418,444.315471560025,64.9381109168753,169.454360165866,"$108,000","$110,000","$108,000-$110,000"
2019,110000,7225.89800642291,4610.6648221151,1423.5170001043,444.315471560025,64.9381109168753,169.454360165866,"$110,000","$112,000","$110,000-$112,000"
2019,112000,7580.65697542136,4231.86093649687,1423.51700010418,360.808378430607,64.9381109168753,148.537372613355,"$112,000","$114,000","$112,000-$114,000"
2019,114000,7130.72157633537,4231.86093649687,1423.51700010418,310.469270655012,64.9381109169044,67.6564457054192,"$114,000","$116,000","$114,000-$116,000"
2019,116000,3861.63171707583,4231.86093649687,982.558925793506,310.469270654983,64.9381109168753,67.6564457054483,"$116,000","$118,000","$116,000-$118,000"
2019,118000,3861.63171707583,4231.86093649641,921.966425309889,310.469270655012,64.9381109168753,67.6564457054192,"$118,000","$120,000","$118,000-$120,000"
2019,120000,3861.63171707583,4231.86093649687,921.966425309889,310.469270655012,64.9381109168753,67.6564457054192,"$120,000","$122,000","$120,000-$122,000"
2019,122000,3385.96089221141,3106.66430083197,921.966425309889,310.469270655012,64.9381109168753,67.6564457054192,"$122,000","$124,000","$122,000-$124,000"
2019,124000,3139.38258177135,2918.03633498214,921.966425309889,232.401355561073,64.9381109168753,67.6564457054483,"$124,000","$126,000","$124,000-$126,000"
2019,126000,3139.38258177135,2918.03633498168,921.966425309889,203.468319868611,64.9381109168753,67.6564457054192,"$126,000","$128,000","$126,000-$128,000"
2019,128000,3139.38258177135,2918.03633498214,921.966425309889,203.46831986864,64.9381109168753,67.6564457054192,"$128,000","$130,000","$128,000-$130,000"
2019,130000,2750.73809750285,2918.03633498168,846.718302659691,203.46831986864,64.9381109168753,67.6564457054192,"$130,000","$132,000","$130,000-$132,000"
2019,132000,2135.27869483153,2918.03633498214,731.554559482145,203.46831986864,64.9381109169044,67.6564457054483,"$132,000","$134,000","$132,000-$134,000"
2019,134000,2135.27869483177,2918.03633498168,731.554559482145,203.468319868611,64.9381109168753,67.6564457054192,"$134,000","$136,000","$134,000-$136,000"
2019,136000,2135.27869483177,2796.60025719367,731.554559482262,203.46831986864,64.9381109168753,67.6564457054192,"$136,000","$138,000","$136,000-$138,000"
2019,138000,2135.27869483153,1473.71419711504,731.554559482145,203.46831986864,64.9381109168753,67.6564457054192,"$138,000","$140,000","$138,000-$140,000"
2019,140000,2135.27869483177,1473.71419711504,731.554559482145,203.46831986864,64.9381109168753,67.6564457054483,"$140,000","$142,000","$140,000-$142,000"
2019,142000,2032.13458903832,1473.71419711504,731.554559482145,153.933855639421,64.9381109168753,67.6564457054192,"$142,000","$144,000","$142,000-$144,000"
2019,144000,1169.92028171057,1473.71419711504,731.554559482262,136.126811214635,64.9381109168753,67.6564457054192,"$144,000","$146,000","$144,000-$146,000"
2019,146000,1169.92028171057,1473.71419711504,731.554559482145,136.126811214664,64.9381109168753,67.6564457054192,"$146,000","$148,000","$146,000-$148,000"
2019,148000,1169.92028171057,1473.71419711504,731.554559482145,136.126811214635,64.9381109168753,67.6564457054483,"$148,000","$150,000","$148,000-$150,000"
2019,150000,1169.92028171034,1473.71419711504,276.354355506017,136.126811214635,64.9381109169044,67.6564457054192,"$150,000","$152,000","$150,000-$152,000"
2019,152000,1169.92028171057,1473.71419711551,258.971326445113,136.126811214664,64.9381109168753,67.6564457054192,"$152,000","$154,000","$152,000-$154,000"
2019,154000,1169.92028171057,1473.71419711504,258.971326445113,136.126811214635,64.9381109168753,67.6564457054192,"$154,000","$156,000","$154,000-$156,000"
2019,156000,1169.92028171057,1473.71419711504,258.971326445229,136.126811214635,64.9381109168753,67.6564457054483,"$156,000","$158,000","$156,000-$158,000"
2019,158000,1169.92028171057,1473.71419711504,258.971326445113,136.126811214635,64.9381109168753,67.6564457054192,"$158,000","$160,000","$158,000-$160,000"
2019,160000,30745.6371458482,29025.2365210406,12514.6691100749,2470.85456882455,0,0,"$160,000",Max,">$160,000"
2020,0,10135.6433067956,13905.6243208757,1430.36990218336,3106.20121030337,3683.04891268835,2411.04947700952,Min,"$2,000","<$2,000"
2020,2000,6688.01002652002,11763.4853358475,1430.36990218336,1701.2692008108,1847.7125845624,996.673009122337,"$2,000","$4,000","$2,000-$4,000"
2020,4000,4990.2293124019,7752.71167928746,1430.36990218336,1780.82306957123,1891.137165733,643.312601085671,"$4,000","$6,000","$4,000-$6,000"
2020,6000,4990.2293124019,7752.71167928746,1430.36990218335,1530.84451919883,1333.23577400049,589.23823752044,"$6,000","$8,000","$6,000-$8,000"
2020,8000,9234.67056357833,9727.8518602094,2058.30483956937,2117.84680060656,2838.02671995524,589.238237520439,"$8,000","$10,000","$8,000-$10,000"
2020,10000,10713.2116676951,12878.7371356614,5880.11679969582,1925.47955940159,2246.82548491413,721.03994972571,"$10,000","$12,000","$10,000-$12,000"
2020,12000,13789.7156998682,14598.0866830823,6954.53590870119,6737.35978751732,3715.98206773081,741.892073720021,"$12,000","$14,000","$12,000-$14,000"
2020,14000,13362.5826518309,19477.8722474444,4752.84202309401,5655.44587308188,4768.456937483,1110.63230287085,"$14,000","$16,000","$14,000-$16,000"
2020,16000,12387.1905470619,34270.0694277161,6053.36700542132,11170.6233082937,11661.0875273171,2577.89929285462,"$16,000","$18,000","$16,000-$18,000"
2020,18000,14705.2172489136,51311.3188570492,7601.06623242625,9069.17184665794,14347.4793767901,3716.1298008425,"$18,000","$20,000","$18,000-$20,000"
2020,20000,16224.3949330919,46419.7564141835,8905.86678261371,6514.43879638596,15288.176238614,5839.90965370738,"$20,000","$22,000","$20,000-$22,000"
2020,22000,21890.0859508337,57233.4359329606,62356.0702240035,5655.47500829259,21773.3721447422,42461.4637912652,"$22,000","$24,000","$22,000-$24,000"
